Round Number,Home Team,Away Team
24,Newcastle,Fulham
24,Nott'm Forest,Brighton
24,Wolves,Aston Villa
25,Aston Villa,Ipswich
25,Brighton,Chelsea
25,Crystal Palace,Everton
25,Fulham,Nott'm Forest
25,Leicester,Arsenal
25,Liverpool,Wolves
25,Man City,Newcastle
25,Southampton,Bournemouth
25,Spurs,Man Utd
25,West Ham,Brentford
26,Arsenal,West Ham
26,Aston Villa,Chelsea
26,Bournemouth,Wolves
26,Everton,Man Utd
26,Fulham,Crystal Palace
26,Ipswich,Spurs
26,Leicester,Brentford
26,Man City,Liverpool
26,Newcastle,Nott'm Forest
26,Southampton,Brighton
27,Brentford,Everton
27,Brighton,Bournemouth
27,Nott'm Forest,Arsenal
27,Spurs,Man City
27,West Ham,Leicester
27,Wolves,Fulham
27,Crystal Palace,Aston Villa
27,Chelsea,Southampton
27,Liverpool,Newcastle
27,Man Utd,Ipswich
28,Brentford,Aston Villa
28,Brighton,Fulham
28,Chelsea,Leicester
28,Crystal Palace,Ipswich
28,Liverpool,Southampton
28,Man Utd,Arsenal
28,Nott'm Forest,Man City
28,Spurs,Bournemouth
28,West Ham,Newcastle
28,Wolves,Everton
29,Arsenal,Chelsea
29,Aston Villa,Liverpool
29,Bournemouth,Brentford
29,Everton,West Ham
29,Fulham,Spurs
29,Ipswich,Nott'm Forest
29,Leicester,Man Utd
29,Man City,Brighton
29,Newcastle,Crystal Palace
29,Southampton,Wolves
30,Arsenal,Fulham
30,Bournemouth,Ipswich
30,Brighton,Aston Villa
30,Nott'm Forest,Man Utd
30,Wolves,West Ham
30,Chelsea,Spurs
30,Man City,Leicester
30,Newcastle,Brentford
30,Southampton,Crystal Palace
30,Liverpool,Everton
31,Aston Villa,Nott'm Forest
31,Brentford,Chelsea
31,Crystal Palace,Brighton
31,Everton,Arsenal
31,Fulham,Liverpool
31,Ipswich,Wolves
31,Leicester,Newcastle
31,Man Utd,Man City
31,Spurs,Southampton
31,West Ham,Bournemouth
32,Arsenal,Brentford
32,Bournemouth,Fulham
32,Brighton,Leicester
32,Chelsea,Ipswich
32,Liverpool,West Ham
32,Man City,Crystal Palace
32,Newcastle,Man Utd
32,Nott'm Forest,Everton
32,Southampton,Aston Villa
32,Wolves,Spurs
33,Aston Villa,Newcastle
33,Brentford,Brighton
33,Crystal Palace,Bournemouth
33,Everton,Man City
33,Fulham,Chelsea
33,Ipswich,Arsenal
33,Leicester,Liverpool
33,Man Utd,Wolves
33,Spurs,Nott'm Forest
33,West Ham,Southampton
34,Arsenal,Crystal Palace
34,Bournemouth,Man Utd
34,Brighton,West Ham
34,Chelsea,Everton
34,Liverpool,Spurs
34,Man City,Aston Villa
34,Newcastle,Ipswich
34,Nott'm Forest,Brentford
34,Southampton,Fulham
34,Wolves,Leicester
35,Arsenal,Bournemouth
35,Aston Villa,Fulham
35,Brentford,Man Utd
35,Brighton,Newcastle
35,Chelsea,Liverpool
35,Crystal Palace,Nott'm Forest
35,Everton,Ipswich
35,Leicester,Southampton
35,Man City,Wolves
35,West Ham,Spurs
36,Bournemouth,Aston Villa
36,Fulham,Everton
36,Ipswich,Brentford
36,Liverpool,Arsenal
36,Man Utd,West Ham
36,Newcastle,Chelsea
36,Nott'm Forest,Leicester
36,Southampton,Man City
36,Spurs,Crystal Palace
36,Wolves,Brighton
37,Arsenal,Newcastle
37,Aston Villa,Spurs
37,Brentford,Fulham
37,Brighton,Liverpool
37,Chelsea,Man Utd
37,Crystal Palace,Wolves
37,Everton,Southampton
37,Leicester,Ipswich
37,Man City,Bournemouth
37,West Ham,Nott'm Forest
38,Bournemouth,Leicester
38,Fulham,Man City
38,Ipswich,West Ham
38,Liverpool,Crystal Palace
38,Man Utd,Aston Villa
38,Newcastle,Everton
38,Nott'm Forest,Chelsea
38,Southampton,Arsenal
38,Spurs,Brighton
38,Wolves,Brentford
